rainfall_mm,soil_moisture_pct,active_shovels,haul_trucks,shift_blasting,shortfall_tons
5.631217079722309,33.0151602700104,9,21,1,221.63666622949404
36.12145717101025,86.84713157876908,4,9,1,1005.0972256072612
15.800948322545391,53.01358554076347,6,12,1,488.4248016558631
10.955310645311439,40.578589871883096,8,19,1,366.83124749663466
2.0354984455481553,26.44929998059795,8,18,1,177.75582846531415
2.035155502975262,23.87176833500008,4,9,0,64.77871617025085
0.7180652233041681,34.15141793361306,9,21,1,142.32653866277724
24.134770373759274,68.5836408806536,7,14,0,739.7611428609666
11.028985843527174,42.053272486378575,7,16,1,385.7434596725434
14.775000740455084,52.45092097575604,8,17,1,489.14345745438777
0.24959169598966346,24.999952854018076,7,15,1,77.52900049794516
42.04268970189975,95.0,3,9,1,1171.1009157859817
21.4371545202561,66.04354493663469,8,18,1,648.2148527551785
2.864251502987364,33.18568354556648,8,18,0,187.82659305984907
2.4081478649959602,27.21266156655062,6,14,0,162.2145308260492
2.4313370739870845,27.07313377059803,7,16,1,139.44938590542097
4.353044753525726,31.735273767739727,9,18,1,195.72089675451934
8.927133970330253,31.86115648765211,8,18,0,304.0578592721031
6.7864448013640395,31.154836393661064,9,19,1,278.87575041003856
4.130675910647298,37.90271370894323,3,7,1,225.35703448232357
11.356450486797584,52.021481730240794,6,12,1,426.2340972038887
1.802814344728064,27.248921662285003,4,9,1,164.443687742189
4.146186144028827,34.76936291147496,9,19,1,248.00778236883252
5.475326618650165,36.10058853174444,8,18,1,240.60173896152128
7.3072162543173,50.468512491592094,3,7,1,330.6484014587261
18.455232132370945,62.697717484006006,5,10,0,615.5531713213336
2.6728303455442832,29.299424256056643,3,8,1,189.90305434539482
8.664349860397532,36.77366798631385,3,9,0,339.64753363098816
10.770056655717127,37.960316699260545,6,14,1,347.2117300933137
0.5707661970769026,26.84123369820732,4,8,1,147.41166838761546
11.223996247795322,42.17779026489436,5,12,1,317.55661262614785
2.243535023728997,23.349348204321497,7,16,1,151.88110347626662
0.8071671705516509,23.866609370022868,7,14,0,187.92878034547948
35.68425352208317,84.90546432529213,9,20,0,1017.6667903236398
40.44756410953407,95.0,3,6,1,1149.4709404209443
19.82797887375452,64.21692100055594,6,12,1,603.1771203410681
4.359454319625099,32.815127210058705,6,15,0,209.82965209347958
1.2333277800300748,33.13976655961424,7,15,1,187.01863898413012
13.833009157183941,50.208889713521565,9,19,1,475.3797624095969
6.96109011102478,34.08482539453155,9,20,1,262.1138405614611
1.5618268074533836,33.90378456249472,9,20,0,236.23111860967765
8.202566737609802,41.920260302436276,5,13,1,287.65392588429995
0.419924657321749,21.606879765873323,4,11,1,123.45259775126033
28.805074648716285,76.08777965535488,5,13,1,809.9512409253134
3.593493322088233,27.965814966219792,8,16,1,172.16209508295788
13.035069582779764,42.93192632514623,8,19,1,402.5750537552203
4.482558979891484,36.773316353931236,4,11,0,202.8925667344654
8.809330750910743,48.49446191351986,7,16,1,349.4553973478569
9.49468557578157,36.49616374113026,4,11,1,308.7489843751828
2.452663194094869,31.66667069613305,6,12,0,183.30677922835548
41.91368559283472,95.0,8,16,1,1163.2381230232795
17.90694452565769,55.28399861112506,3,8,0,581.0962023405448
33.66113303149899,83.2204637597427,3,9,0,982.5592418612897
27.025823970410357,70.19052006801938,7,17,1,735.8370762992063
10.9326529485993,44.872861819258056,6,12,1,414.96590674148365
30.59322455123286,76.74400372657499,5,13,1,883.6699560503343
1.1118655074373875,28.083185216506653,6,15,1,135.1148186954556
2.6176163355752093,29.510756966238826,3,9,1,181.69371561976845
0.5553835882419834,25.04389827136993,3,7,0,100.02694102511737
4.722385041637041,29.870038426780283,8,18,1,195.12662188052082
5.905563501530623,33.32292898048179,6,13,1,276.983801990767
3.7987253185059084,34.85927047661366,6,14,1,213.64465304774012
21.174694382891207,65.11811863970169,3,6,1,697.6989645334052
5.294723994358442,30.620282210650995,5,13,1,202.90112063084644
3.9576340816109905,32.521070568616686,7,16,1,204.51010758711482
9.388884998492951,44.90554149077447,9,19,1,359.8277501318589
1.8227777738475464,21.603378868440096,7,17,1,104.68463959745577
19.445803149296776,62.17588643825394,6,12,1,629.1513900167088
0.9297104257357081,24.022983730540886,7,16,0,90.67551576783626
52.00975607504783,95.0,3,8,0,1389.6338335710689
17.753805314898138,53.903812940646574,3,8,1,512.4851171094954
2.6584732860706315,22.56572351226906,6,15,0,160.4851300204823
0.0664490445112257,18.609438528587557,6,13,1,130.27432117439275
20.27876132983351,61.694110180345845,9,19,1,644.1283946132544
14.725150888644535,52.54416160644609,9,20,1,506.35981610462386
15.667954905455987,49.58505232940315,8,16,1,508.19660511893017
17.70257431252216,59.419003597649386,6,12,1,570.1079994272682
0.9231511861655561,20.01559188602216,5,11,1,68.20851203870734
5.32671206899479,34.32376252960135,7,14,0,248.45515331764364
1.477801255253396,22.815977460406287,6,13,1,143.91495565046125
23.862354859898673,65.34489431660897,4,10,1,749.6985254063973
11.715614300548488,46.27770042625293,8,17,1,425.15069008968067
4.821825615015612,30.237632645892294,4,9,1,272.83657616804703
0.7880167896573946,24.88020804446401,3,8,1,140.8291772009013
4.469860204924244,37.0709196057214,9,18,1,201.06865925926286
4.719770558209576,31.18801952668464,7,15,1,243.00621347630522
15.694509407492891,56.59288538174777,6,13,0,509.1770668179497
12.17867230711224,42.40278273417156,4,10,1,440.19158785935156
26.187022948818175,74.25585801953383,7,14,0,743.2016512558616
7.668793600515718,44.57010296355989,3,7,0,273.938912064551
1.5284687233860228,17.864665701585682,9,20,0,85.57762063250448
14.989516131799192,48.79354801535664,5,11,1,422.5013720534771
17.164713036922368,58.204771975182425,8,19,1,551.3334442310002
